[2025-04-22 22:25:26] 44m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-xnw48          Stopping container nginx
[2025-04-22 22:25:26] 20s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lvfpg          Successfully assigned default/nginx-basic-76dd66bf4f-lvfpg to worker7
[2025-04-22 22:25:26] 20s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:26] 19s         Normal    Started                        pod/nginx-basic-76dd66bf4f-lvfpg          Started container nginx
[2025-04-22 22:25:26] 19s         Normal    Created                        pod/nginx-basic-76dd66bf4f-lvfpg          Created container nginx
[2025-04-22 22:25:26] 19s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-lvfpg          Successfully pulled image "nginx:latest" in 728ms (728ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:26] 19s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-lvfpg          Pulling image "nginx:latest"
[2025-04-22 22:25:26] 5s          Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:25:26] 5s          Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:25:36] 45m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-xnw48          Stopping container nginx
[2025-04-22 22:25:36] 40m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:36] 40m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmkdm
[2025-04-22 22:25:36] 40m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmkdm          Successfully assigned default/nginx-basic-76dd66bf4f-gmkdm to worker7
[2025-04-22 22:25:36] 40m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmkdm          Pulling image "nginx:latest"
[2025-04-22 22:25:36] 40m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmkdm          Successfully pulled image "nginx:latest" in 731ms (731ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:36] 40m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmkdm          Started container nginx
[2025-04-22 22:25:36] 40m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmkdm          Created container nginx
[2025-04-22 22:25:36] 39m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:36] 39m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:36] 24m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gmkdm          Stopping container nginx
[2025-04-22 22:25:36] 19m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:36] 19m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-dp45j          Pulling image "nginx:latest"
[2025-04-22 22:25:36] 19m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-dp45j          Successfully assigned default/nginx-basic-76dd66bf4f-dp45j to worker7
[2025-04-22 22:25:36] 19m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-dp45j
[2025-04-22 22:25:36] 19m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-dp45j          Successfully pulled image "nginx:latest" in 720ms (720ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:36] 19m         Normal    Started                        pod/nginx-basic-76dd66bf4f-dp45j          Started container nginx
[2025-04-22 22:25:36] 19m         Normal    Created                        pod/nginx-basic-76dd66bf4f-dp45j          Created container nginx
[2025-04-22 22:25:36] 19m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:36] 19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:36] 5m30s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-dp45j          Stopping container nginx
[2025-04-22 22:25:36] 30s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lvfpg
[2025-04-22 22:25:36] 30s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lvfpg          Successfully assigned default/nginx-basic-76dd66bf4f-lvfpg to worker7
[2025-04-22 22:25:36] 30s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:36] 29s         Normal    Started                        pod/nginx-basic-76dd66bf4f-lvfpg          Started container nginx
[2025-04-22 22:25:36] 29s         Normal    Created                        pod/nginx-basic-76dd66bf4f-lvfpg          Created container nginx
[2025-04-22 22:25:36] 29s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-lvfpg          Successfully pulled image "nginx:latest" in 728ms (728ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:36] 29s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-lvfpg          Pulling image "nginx:latest"
[2025-04-22 22:25:36] 15s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:25:36] 15s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:25:46] 45m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-xnw48          Stopping container nginx
[2025-04-22 22:25:46] 40m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:46] 40m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmkdm
[2025-04-22 22:25:46] 40m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmkdm          Successfully assigned default/nginx-basic-76dd66bf4f-gmkdm to worker7
[2025-04-22 22:25:46] 40m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmkdm          Pulling image "nginx:latest"
[2025-04-22 22:25:46] 40m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmkdm          Successfully pulled image "nginx:latest" in 731ms (731ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:46] 40m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmkdm          Started container nginx
[2025-04-22 22:25:46] 40m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmkdm          Created container nginx
[2025-04-22 22:25:46] 40m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:46] 40m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:46] 24m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gmkdm          Stopping container nginx
[2025-04-22 22:25:46] 19m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:46] 19m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-dp45j          Pulling image "nginx:latest"
[2025-04-22 22:25:46] 19m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-dp45j          Successfully assigned default/nginx-basic-76dd66bf4f-dp45j to worker7
[2025-04-22 22:25:46] 19m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-dp45j
[2025-04-22 22:25:46] 19m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-dp45j          Successfully pulled image "nginx:latest" in 720ms (720ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:46] 19m         Normal    Started                        pod/nginx-basic-76dd66bf4f-dp45j          Started container nginx
[2025-04-22 22:25:46] 19m         Normal    Created                        pod/nginx-basic-76dd66bf4f-dp45j          Created container nginx
[2025-04-22 22:25:46] 19m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:46] 19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:46] 5m40s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-dp45j          Stopping container nginx
[2025-04-22 22:25:46] 40s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lvfpg
[2025-04-22 22:25:46] 40s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lvfpg          Successfully assigned default/nginx-basic-76dd66bf4f-lvfpg to worker7
[2025-04-22 22:25:46] 40s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:46] 39s         Normal    Started                        pod/nginx-basic-76dd66bf4f-lvfpg          Started container nginx
[2025-04-22 22:25:46] 39s         Normal    Created                        pod/nginx-basic-76dd66bf4f-lvfpg          Created container nginx
[2025-04-22 22:25:46] 39s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-lvfpg          Successfully pulled image "nginx:latest" in 728ms (728ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:46] 39s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-lvfpg          Pulling image "nginx:latest"
[2025-04-22 22:25:46] 25s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:25:46] 25s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:25:56] 45m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-xnw48          Stopping container nginx
[2025-04-22 22:25:56] 40m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:56] 40m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmkdm
[2025-04-22 22:25:56] 40m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmkdm          Successfully assigned default/nginx-basic-76dd66bf4f-gmkdm to worker7
[2025-04-22 22:25:56] 40m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmkdm          Pulling image "nginx:latest"
[2025-04-22 22:25:56] 40m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmkdm          Successfully pulled image "nginx:latest" in 731ms (731ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:56] 40m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmkdm          Started container nginx
[2025-04-22 22:25:56] 40m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmkdm          Created container nginx
[2025-04-22 22:25:56] 40m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:56] 40m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:56] 24m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gmkdm          Stopping container nginx
[2025-04-22 22:25:56] 19m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:56] 19m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-dp45j          Pulling image "nginx:latest"
[2025-04-22 22:25:56] 19m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-dp45j          Successfully assigned default/nginx-basic-76dd66bf4f-dp45j to worker7
[2025-04-22 22:25:56] 19m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-dp45j
[2025-04-22 22:25:56] 19m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-dp45j          Successfully pulled image "nginx:latest" in 720ms (720ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:56] 19m         Normal    Started                        pod/nginx-basic-76dd66bf4f-dp45j          Started container nginx
[2025-04-22 22:25:56] 19m         Normal    Created                        pod/nginx-basic-76dd66bf4f-dp45j          Created container nginx
[2025-04-22 22:25:56] 19m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:56] 19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:25:56] 5m51s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-dp45j          Stopping container nginx
[2025-04-22 22:25:56] 51s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lvfpg
[2025-04-22 22:25:56] 50s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lvfpg          Successfully assigned default/nginx-basic-76dd66bf4f-lvfpg to worker7
[2025-04-22 22:25:56] 51s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:25:56] 50s         Normal    Started                        pod/nginx-basic-76dd66bf4f-lvfpg          Started container nginx
[2025-04-22 22:25:56] 50s         Normal    Created                        pod/nginx-basic-76dd66bf4f-lvfpg          Created container nginx
[2025-04-22 22:25:56] 50s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-lvfpg          Successfully pulled image "nginx:latest" in 728ms (728ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:25:56] 50s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-lvfpg          Pulling image "nginx:latest"
[2025-04-22 22:25:56] 36s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:25:56] 36s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:26:07] 45m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-xnw48          Stopping container nginx
[2025-04-22 22:26:07] 40m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:26:07] 40m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmkdm
[2025-04-22 22:26:07] 40m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmkdm          Successfully assigned default/nginx-basic-76dd66bf4f-gmkdm to worker7
[2025-04-22 22:26:07] 40m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmkdm          Pulling image "nginx:latest"
[2025-04-22 22:26:07] 40m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmkdm          Successfully pulled image "nginx:latest" in 731ms (731ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:26:07] 40m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmkdm          Started container nginx
[2025-04-22 22:26:07] 40m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmkdm          Created container nginx
[2025-04-22 22:26:07] 40m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:07] 40m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:07] 25m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gmkdm          Stopping container nginx
[2025-04-22 22:26:07] 20m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:26:07] 20m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-dp45j          Pulling image "nginx:latest"
[2025-04-22 22:26:07] 20m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-dp45j          Successfully assigned default/nginx-basic-76dd66bf4f-dp45j to worker7
[2025-04-22 22:26:07] 20m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-dp45j
[2025-04-22 22:26:07] 20m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-dp45j          Successfully pulled image "nginx:latest" in 720ms (720ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:26:07] 20m         Normal    Started                        pod/nginx-basic-76dd66bf4f-dp45j          Started container nginx
[2025-04-22 22:26:07] 20m         Normal    Created                        pod/nginx-basic-76dd66bf4f-dp45j          Created container nginx
[2025-04-22 22:26:07] 19m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:07] 19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:07] 6m1s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-dp45j          Stopping container nginx
[2025-04-22 22:26:07] 61s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lvfpg
[2025-04-22 22:26:07] 60s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lvfpg          Successfully assigned default/nginx-basic-76dd66bf4f-lvfpg to worker7
[2025-04-22 22:26:07] 61s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:26:07] 60s         Normal    Started                        pod/nginx-basic-76dd66bf4f-lvfpg          Started container nginx
[2025-04-22 22:26:07] 60s         Normal    Created                        pod/nginx-basic-76dd66bf4f-lvfpg          Created container nginx
[2025-04-22 22:26:07] 60s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-lvfpg          Successfully pulled image "nginx:latest" in 728ms (728ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:26:07] 60s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-lvfpg          Pulling image "nginx:latest"
[2025-04-22 22:26:07] 46s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:26:07] 46s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-22 22:26:17] 45m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-xnw48          Stopping container nginx
[2025-04-22 22:26:17] 40m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:26:17] 40m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gmkdm
[2025-04-22 22:26:17] 40m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gmkdm          Successfully assigned default/nginx-basic-76dd66bf4f-gmkdm to worker7
[2025-04-22 22:26:17] 40m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gmkdm          Pulling image "nginx:latest"
[2025-04-22 22:26:17] 40m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gmkdm          Successfully pulled image "nginx:latest" in 731ms (731ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:26:17] 40m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gmkdm          Started container nginx
[2025-04-22 22:26:17] 40m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gmkdm          Created container nginx
[2025-04-22 22:26:17] 40m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:17] 40m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:17] 25m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gmkdm          Stopping container nginx
[2025-04-22 22:26:17] 20m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-22 22:26:17] 20m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-dp45j          Pulling image "nginx:latest"
[2025-04-22 22:26:17] 20m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-dp45j          Successfully assigned default/nginx-basic-76dd66bf4f-dp45j to worker7
[2025-04-22 22:26:17] 20m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-dp45j
[2025-04-22 22:26:17] 20m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-dp45j          Successfully pulled image "nginx:latest" in 720ms (720ms including waiting). Image size: 72403299 bytes.
[2025-04-22 22:26:17] 20m         Normal    Started                        pod/nginx-basic-76dd66bf4f-dp45j          Started container nginx
[2025-04-22 22:26:17] 20m         Normal    Created                        pod/nginx-basic-76dd66bf4f-dp45j          Created container nginx
[2025-04-22 22:26:17] 20m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:17] 20m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-22 22:26:17] 6m11s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-dp45j          Stopping container nginx
[2025-04-22 22:26:17] 71s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lvfpg
[2025-04-22 22:26:17] 70s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lvfpg          Successfully assigned default/nginx-basic-76dd66bf4f-lvfpg to worker7
